request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_248,1507.36,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_249,342.4,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_250,28820,affordable_later,wait,2025-01-16:124278,2025-01-16,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
request_251,1513.6,affordable_now,full_payment,2025-05-03:1513.6,2025-05-03,none,The requested amount can be paid now while keeping the required minimum balance.
request_252,10098500,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_253,2335.57,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_254,1759.6,affordable_later,wait,2025-08-08:3535.2,2025-08-08,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,The requested amount can be paid now while keeping the required minimum balance.
request_256,226383.28,affordable_with_plan,installments,2024-06-03:218700,2024-06-03,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_257,1085.2,affordable_later,wait,2025-11-14:1352.4,2025-11-14,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,The requested amount can be paid now while keeping the required minimum balance.
request_259,669.3,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_260,15059400,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_261,3218.96,affordable_with_plan,installments,2026-07-03:1830.4,2026-07-03,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_262,57387600,affordable_with_plan,installments,2024-12-05:9236000,2024-12-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_263,14718,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_264,44875,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,The requested amount can be paid now while keeping the required minimum balance.
request_266,1454.92,affordable_with_plan,installments,2025-08-03:935,2025-08-03,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_267,2148.98,affordable_with_plan,installments,2026-01-05:1925,2026-01-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_268,1512.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-06-14,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_269,22207.9,affordable_with_plan,installments,2025-11-04:15490,2025-11-04,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_270,535.4,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_271,84760,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_272,8815924,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_273,13372200,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_274,3047.31,affordable_with_plan,installments,2024-12-04:2713.7,2024-12-04,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_275,24446350,affordable_with_plan,installments,2025-05-06:15884000,2025-05-06,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
